,g711,gsm,opus,speex,TOTAL
São Paulo - Malaysia,499,347,500,0,1346
Tel Aviv - Sydney,546,500,496,500,2042
Frankfurt - London,1498,500,498,500,2996
Sydney - Frankfurt,1537,499,499,499,3034
Bangalore - New York,1389,498,497,499,2883
Singapore - New York,1194,499,496,499,2688
San Francisco - Amsterdam,1543,499,500,496,3038
New York - Sydney,0,499,500,497,1496
Cape Town - Seoul,497,500,494,0,1491
Jakarta - Mexico,310,500,499,500,1809
Osaka - UAE,500,499,500,0,1499
Oregon - California,200,400,400,200,1200
Paris - London,200,399,399,397,1395
Stockholm - Frankfurt,104,400,400,200,1104
Virginia - Ohio,50,0,50,198,298
TOTAL,10067,6539,6728,4985,28319
