date,source,server,low,q1,md,q3,high
2025-04-01,op-de8a,public,20,70,90,120,190
2025-04-01,op-de8a-conflux,public,20,60,80,110,180
2025-04-01,op-hk8a,public,390,490,550,630,840
2025-04-01,op-hk8a-conflux,public,400,480,540,650,900
2025-04-01,op-us8a-conflux,public,190,240,260,300,390
2025-04-02,op-de8a,public,20,70,90,130,220
2025-04-02,op-de8a-conflux,public,20,70,90,120,190
2025-04-02,op-hk8a,public,400,470,530,640,890
2025-04-02,op-hk8a-conflux,public,400,487,560,680,950
2025-04-02,op-us8a-conflux,public,190,230,260,290,380
2025-04-03,op-de8a,public,30,70,90,120,190
2025-04-03,op-de8a-conflux,public,20,70,90,122,200
2025-04-03,op-hk8a,public,380,490,540,660,910
2025-04-03,op-hk8a-conflux,public,400,500,570,720,1050
2025-04-03,op-us8a-conflux,public,190,240,270,320,440
2025-04-04,op-de8a,public,30,70,90,130,220
2025-04-04,op-de8a-conflux,public,30,60,80,120,210
2025-04-04,op-hk8a,public,400,490,560,690,990
2025-04-04,op-hk8a-conflux,public,410,500,580,740,1100
2025-04-04,op-us8a-conflux,public,190,240,260,300,390
2025-04-05,op-de8a,public,20,70,90,120,190
2025-04-05,op-de8a-conflux,public,20,60,90,140,260
2025-04-05,op-hk8a,public,410,510,580,712,1010
2025-04-05,op-hk8a-conflux,public,390,510,600,742,1090
2025-04-05,op-us8a-conflux,public,170,240,260,300,390
2025-04-06,op-de8a,public,30,70,90,130,220
2025-04-06,op-de8a-conflux,public,20,70,90,120,190
2025-04-06,op-hk8a,public,400,500,560,740,1100
2025-04-06,op-hk8a-conflux,public,390,500,590,760,1150
2025-04-06,op-us8a-conflux,public,190,240,270,310,410
2025-04-07,op-de8a,public,30,80,100,140,230
2025-04-07,op-de8a-conflux,public,20,70,90,120,190
2025-04-07,op-hk8a,public,400,480,560,700,1020
2025-04-07,op-hk8a-conflux,public,390,490,570,747,1130
2025-04-07,op-us8a-conflux,public,180,240,260,312,420
2025-04-08,op-de8a,public,20,80,110,140,230
2025-04-08,op-de8a-conflux,public,20,60,80,120,210
2025-04-08,op-hk8a,public,400,480,540,670,950
2025-04-08,op-hk8a-conflux,public,390,470,560,760,1190
2025-04-08,op-us8a-conflux,public,190,240,270,310,410
2025-04-09,op-de8a,public,20,70,90,130,220
2025-04-09,op-de8a-conflux,public,20,60,80,110,180
2025-04-09,op-hk8a,public,380,460,530,690,1030
2025-04-09,op-hk8a-conflux,public,390,470,540,710,1060
2025-04-09,op-us8a-conflux,public,190,240,260,305,400
2025-04-10,op-de8a,public,30,80,100,150,250
2025-04-10,op-de8a-conflux,public,20,70,90,120,190
2025-04-10,op-hk8a,public,390,480,550,730,1100
2025-04-10,op-hk8a-conflux,public,380,460,550,740,1160
2025-04-10,op-us8a-conflux,public,180,230,260,310,430
2025-04-11,op-de8a,public,20,80,100,150,250
2025-04-11,op-de8a-conflux,public,20,70,90,140,240
2025-04-11,op-hk8a,public,390,460,540,680,1010
2025-04-11,op-hk8a-conflux,public,400,480,560,730,1100
2025-04-11,op-us8a-conflux,public,170,230,260,310,430
2025-04-12,op-de8a,public,30,70,100,130,220
2025-04-12,op-de8a-conflux,public,30,70,90,130,220
2025-04-12,op-hk8a,public,390,460,540,680,1010
2025-04-12,op-hk8a-conflux,public,390,470,570,750,1160
2025-04-12,op-us8a-conflux,public,170,240,260,310,410
2025-04-13,op-de8a,public,20,80,110,160,280
2025-04-13,op-de8a-conflux,public,30,80,100,130,200
2025-04-13,op-hk8a,public,390,470,540,680,990
2025-04-13,op-hk8a-conflux,public,400,480,570,750,1140
2025-04-13,op-us8a-conflux,public,180,240,270,320,440
2025-04-14,op-de8a,public,30,80,100,150,250
2025-04-14,op-de8a-conflux,public,20,70,90,130,220
2025-04-14,op-hk8a,public,380,460,525,700,1060
2025-04-14,op-hk8a-conflux,public,390,480,570,740,1120
2025-04-14,op-us8a-conflux,public,180,250,280,330,450
2025-04-15,op-de8a,public,30,70,100,140,240
2025-04-15,op-de8a-conflux,public,20,70,90,120,190
2025-04-15,op-hk8a,public,380,490,560,700,1010
2025-04-15,op-hk8a-conflux,public,370,467,550,710,1060
2025-04-15,op-us8a-conflux,public,190,240,270,320,440
2025-04-16,op-de8a,public,20,80,100,140,230
2025-04-16,op-de8a-conflux,public,30,70,90,130,210
